Region, Range, search_string, comment, url
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains ecosystems", Late Quaternary vegetation dynamics, https://doi.org/10.1016/j.yqres.2009.02.005
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains ecosystems", Effect of forest loss on biodiversity, https://doi.org/10.1017/S0030605302000212
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains flora and fauna",Endemism of plants in the Uluguru Mountains,https://doi.org/10.1016/j.foreco.2008.01.061
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains flora and fauna",Faunal importance of Eastern Arc Mountains,https://doi.org/10.2982/0012-8317(1998)87[37:FIOTEA]2.0.CO;2
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains climate",Surface runoff generation and soil loss under different proerties,https://doi.org/10.1002/ldr.2499
Eastern Arc Mountains, Udzungwa,"Udzungwa ecosystems",Demographic variation among Udzungwa Red Colobus,https://doi.org/10.1023/B:IJOP.0000023578.08343.4e
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Within and between-site distribution of frog species,https://doi.org/10.1080/21564574.2008.9635572
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Checklist of mammals,https://doi.org/10.1515/MAMM.2007.015
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Protective status ecology and strategies for improving conservation of Cercocebus sanjei,https://doi.org/10.1007/s10764-005-4366-y
Eastern Arc Mountains, Udzungwa,"Udzungwa climate",Climatic Characterization and Phenology of Local Peach Genotypes,https://doi.org/10.1080/15538362.2013.819749
Eastern Arc Mountains, Udzungwa,"Udzungwa climate",Arthropod diversity and abundance,https://doi.org/10.2982/0012-8317(1998)87[233:ADAAAT]2.0.CO;2
Eastern Arc Mountains, South Pare,"South Pare ecosystems",Ecosystem change,https://doi.org/10.1177/0959683616675937
Eastern Arc Mountains, South Pare,"South Pare flora and fauna",Small mammals,https://doi.org/10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Biological importance of Eastern arc mountains,https://doi.org/10.1016/j.biocon.2006.08.015
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Ecology and Conservation of the Land-snails of Eastern Arc,https://doi.org/10.2982/0012-8317(1998)87[119:EACOTL]2.0.CO;2
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Delimiting tropical mountain ecoregions for conservation,https://doi.org/10.1017/S0376892911000191
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains climate",Elevational and latitudinal changes in tree associations and diversity in Eastern Arc mountains,https://doi.org/10.1017/S0266467400009846
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",How results of new field work in Rubeho Mountains influence conservation priorities,https://doi.org/10.1111/j.1365-2028.2006.00572.x
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",Forest management and conservation (across altitudinal gradient),https://doi.org/10.1007/s43545-021-00292-6
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",Conservation implications of deforestation across elevational gradient,https://doi.org/10.1016/j.biocon.2009.05.028
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains climate",Evolution in tropical-montane frogs of Eastern Arc of Tanzania,https://doi.org/10.1111/j.1365-294X.2010.04788.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Drivers of soil properties and classification,https://doi.org/10.1016/j.geodrs.2017.10.002
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Soil Fertility Survey,https://doi.org/10.1016/S1002-0160(06)60049-0
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Tree species composition,https://doi.org/10.1111/j.1365-2028.2008.00931.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Species richness and endemism,https://doi.org/10.1111/j.1095-8312.1982.tb02037.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Forest use and environmental change,https://doi.org/10.1002/(SICI)1099-145X(199907/08)10:4%3C291::AID-LDR363%3E3.0.CO;2-W
Eastern Arc Mountains, Ukaguru,"Ukaguru ecosystems",Ecology of rodent species,https://www.suaire.sua.ac.tz/handle/123456789/3912
Eastern Arc Mountains, Ukaguru,"Ukaguru flora and fauna",Habitat type impacts small mammal diversity,https://doi.org/10.1515/mammalia-2020-0158
Eastern Arc Mountains, Taita Hills,"Taita Hills ecosystems",Local assessment of changes in water-related ecosystem services,https://doi.org/10.1080/21513732.2014.985256
Eastern Arc Mountains, Taita Hills,"Taita Hills ecosystems",Geographic overview,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0e567ca675bc372b81497af0ec3a26b2ddf6c0cd
Eastern Arc Mountains, Taita Hills,"Taita Hills ecosystems",Airborne remote sensing of spatiotemporal change (1955-2004),https://doi.org/10.1016/j.jag.2009.02.002
Eastern Arc Mountains, Taita Hills,"Taita Hills ecosystems",Vegetation structure and composition,https://doi.org/10.2982/0012-8317(1998)87[181:VSACOT]2.0.CO;2
Eastern Arc Mountains, Taita Hills,"Taita Hills flora and fauna",Biodiversity report Bytebier B. 2001. Taita Hills Biodiversity Project Report. National Museums of Kenya, Nairobi.
Eastern Arc Mountains, Taita Hills,"Taita Hills flora and fauna",Tree species diversity richness and similarity between exotic and indigenous forests,https://doi.org/10.1007/s11676-010-0069-0
Eastern Arc Mountains, North Pare,"North Pare ecosystems",Human-ecosystem interactions in agricultural landscape: 1400 year sediment and pollen record,https://doi.org/10.1016/j.palaeo.2014.04.005
Eastern Arc Mountains, North Pare,"North Pare ecosystems",2000 years of land use and soil erosion,https://doi.org/10.1016/j.catena.2013.07.010
Eastern Arc Mountains, North Pare,"North Pare flora and fauna",Multi-taxon approach to conservation biogeograph,https://doi.org/10.1111/btp.12178
Eastern Arc Mountains, North Pare,"North Pare climate",Soil erosion history and past human land use,https://d1wqtxts1xzle7.cloudfront.net/86246456/Heckmann_2011_Soil_erosion_history_and_past_human_land_use_in_Pare-libre.pdf?1653137023=&response-content-disposition=inline%3B+filename%3DSoil_erosion_history_and_past_human_land.pdf&Expires=1698894371&Signature=Rn~camQ0W5v7Q52cWeLo8ilwd-My~VN-n2STe60ECfuL4v7ovUIPrDwkbojVYeXKv20dxMEi9ly-WJPLu9L-01xrFsCvSptTj0XGr7E5vZaLGeq2ZsxG91Un1M~TVrTr~D~ttlwvrUPlOJ3t9bUAU1-lqu4zKTaQCaDWDvG3xoDSiB2lIdNtbQ7bDF4G58d7U5LtE7uMCMTffcDZCKL8iG4CoDEzG90Oulxnb-KZhuvT4rSs1qo9I2eC5BUc092bzLCZ~1dAFFYRuswaKpUHbbzm77BEhVIFgdCZg2VuFLKX7O3a6GLf5HJi1Q~E4Y1xLhf5PFukpzx1oYk5QryIPQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
Central Plateau (Southern Africa), Highveld (nn),"Highveld ecosystems",(Transformation) Losses of C and N with prolonged cropping from sandy soils,https://doi.org/10.1046/j.1365-2389.2001.t01-1-00362.x
Central Plateau (Southern Africa), Highveld (nn),"Highveld ecosystems",(Vegetation) (Transformation) Ecological study of plant communities and degraded areas,http://hdl.handle.net/10394/725
Central Plateau (Southern Africa), Highveld (nn),"Highveld ecosystems",(Vegetation) Ecological study of plant communities in proposed Highveld National Park,https://hdl.handle.net/10520/EJC132303
Central Plateau (Southern Africa), Highveld (nn),"Highveld ecosystems",(Soil) (Other ecosystem) Belowground ecosystem recovery during grassland restoration,https://doi.org/10.1007/s10021-014-9833-x
Central Plateau (Southern Africa), Highveld (nn),"Highveld flora and fauna",(Vegetation) (Other ecosystem) (soil) Wetland plant communities,https://cyberleninka.org/article/n/679497.pdf
Central Plateau (Southern Africa), Highveld (nn),"Highveld flora and fauna",(Transformation) (Climate) Dynamics of small mammal populations in Rocky Highveld,http://hdl.handle.net/2263/79273
Central Plateau (Southern Africa), Highveld (nn),"Highveld climate",(Soil) (Climate) (Vegetation) Why was Highveld treeless?,https://doi.org/10.1016/j.sajb.2015.05.019
Central Plateau (Southern Africa), Highveld (nn),"Highveld climate",(Climate) South-Africa's present-day climate,http://app01.saeon.ac.za/sarva3/docs/Chapter%203.pdf
Central Plateau (Southern Africa), Highveld (nn),"Highveld climate",(Climate) Surface ozone variability and trends,https://doi.org/10.1002/2013JD020555
Central Plateau (Southern Africa), Great Karas Mountains,"Great Karas Mountains ecosystems",(Other ecosystem) Vegetation survey of Namibia,https://d1wqtxts1xzle7.cloudfront.net/43482630/Vegetation_Survey_of_Namibia20160307-26830-t2khgm-libre.pdf?1457407986=&response-content-disposition=inline%3B+filename%3DVegetation_Survey_of_Namibia.pdf&Expires=1698975372&Signature=Eck~HCcJfab1keEIt7MO-1ZnyNTbm5sPAkoEg2OCrvCUy8MImDwHsRJKZ0qyOeDeDmtozAaDigK1Nkzhc9gbRZhtMGAVJJOyOsEmh8xoBiCBtGiRu7IwHZxPIrss8bqSbeKEkSdIP44RB16YKj1djOXfV3Mh4erXRu1uBCWIvF9VImw7nk6YpsrQLOq5O05WJkhnEk26MVdHiB2sR779GYzbj91oHK1UzkgRdLrxzePoGYKS4Zq0YSurYZPTpApEPjB983o5mJNY1IgwGGiuILczBRgfvNYKPEkC3Qmfc57NAdOnQfxzyQNxgvLY87Zc74C2NW98lSldfpqFXz5EFg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA
Central Plateau (Southern Africa), Great Karas Mountains,"Great Karas Mountains ecosystems",Properties of soil pockets on arid Nama Karoo inselbergs,https://doi.org/10.1006/jare.2001.0907
Central Plateau (Southern Africa), Great Karas Mountains,"Great Karas Mountains ecosystems",(Transformation) Biodversity zoning in Greater Fish River,Canyon Burke A. (2017). Biodiversity zoning in the Greater Fish River Canyon Landscape in southern Namibia. Namibian Journal of Environment 1 Section A 60–71. Retrieved from https://nje.org.na/index.php/nje/article/view/volume1-burke
Central Plateau (Southern Africa), Waterberg,"Waterberg ecosystems",(Other ecosystems) Impacts of large herbivores on vegetation and soils around water points,http://hdl.handle.net/11070/429
Central Plateau (Southern Africa), Blouberg,"Blouberg ecosystems",(Vegetation) Use of remotely sensed data to estimate tree species diversity,https://doi.org/10.1080/10106049.2020.1723717
Central Plateau (Southern Africa), Blouberg,"Blouberg ecosystems",Major vegetation types,https://hdl.handle.net/10520/EJC139700
Central Plateau (Southern Africa), Blouberg,"Blouberg ecosystems",(Transformation) (Other ecosystem) Vegetation ecology,http://hdl.handle.net/2263/23251
Central Plateau (Southern Africa), Blouberg,"Blouberg flora and fauna",(Transformation) Governance participation and local perceptions of protected areas,https://doi.org/10.3197/096327117X15002190708100
Central Plateau (Southern Africa), Blouberg,"Blouberg climate",(Climate) Refinement of Soutspansberg Geomorphic Province,https://hdl.handle.net/10520/EJC92007
Central Plateau (Southern Africa), Blouberg,"Blouberg climate",(Climate) (vegetation) Endemic flora of the Soutpansberg,https://doi.org/10.1016/j.sajb.2017.09.006
Plateau of Mozambique, Mulanje Massif,"Mulanje Massif ecosystems",Endemics,https://www.jstor.org/stable/3668760
Plateau of Mozambique, Mulanje Massif,"Mulanje Massif ecosystems",Forest Vegetation,https://doi.org/10.2307/3668402
Plateau of Mozambique, Mulanje Massif,"Mulanje Massif ecosystems",Land cover time series analysis,https://www.joyhecht.net/mulanje/refs/Bouvier-Ioana.Mulanje.LC.TimeSeries.2006.pdf
Plateau of Mozambique, Mulanje Massif,"Mulanje Massif ecosystems",Geography environment and flora,https://biostor.org/reference/256618
Plateau of Mozambique, Namuli Massif,"Namuli Massif ecosystems",Avifauna and conservation status,@article{ryan_bento_cohen_graham_parker_spottiswoode_1999 title={The avifauna and conservation status of the Namuli Massif northern Mozambique} volume={9} DOI={10.1017/S0959270900003518} number={4} journal={Bird Conservation International} publisher={Cambridge University Press} author={Ryan Peter G. and Bento Carlos and Cohen Callan and Graham John and Parker Vincent and Spottiswoode Claire} year={1999} pages={315–331}}
Plateau of Mozambique, Namuli Massif,"Namuli Massif ecosystems",Biodiversity and conservation,Suggested citation: Timberlake J.R. Dowsett-Lemaire F. Bayliss J. Alves T. Baena S. Bento C. Cook K. Francisco J. Harris T. Smith P. & de Sousa C. (2009). Mt Namuli Mozambique: Biodiversity and Conservation. Report produced under the Darwin Initiative Award 15/036. Royal Botanic Gardens Kew London. 114 p.
Plateau of Mozambique, Namuli Massif,"Namuli Massif ecosystems",Herpetological surveys,https://www.researchgate.net/profile/Christopher-Smith-113/publication/285138016_Crotalus_horridus_Timber_Rattlesnake_fungal_pathogens/links/61d3436db8305f7c4b1ed742/Crotalus-horridus-Timber-Rattlesnake-fungal-pathogens.pdf#page=52
Plateau of Mozambique, Namuli Massif,"Namuli Massif flora and fauna",Plant checklist,https://biodiversityfoundation.org/wp-content/uploads/Kirkia-19_Timberlake_Namuli-checklist_2021.pdf
Plateau of Mozambique, Zomba Plateau,"Zomba Plateau ecosystems",Forest vegetation of Nyika Plateau (apparently with crossover),https://doi.org/10.2307/3667960
Plateau of Mozambique, Zomba Plateau,"Zomba Plateau ecosystems",Mapping of provisioning Ecosystems Services (Blocked by UNSW due to malware?),http://www.deepapullanikkatil.com/uploads/8/1/9/7/8197584/pullanikkatil_thesis_final.pdf
Plateau of Mozambique, Zomba Plateau,"Zomba Plateau flora and fauna",Small mammals in Pine Plantations,https://doi.org/10.2307/2403880
Plateau of Mozambique, Zomba Plateau,"Zomba Plateau flora and fauna",Developing greater understanding of flora of Nyika,https://doi.org/10.2307/3668733
Plateau of Mozambique, Zomba Plateau,"Zomba Plateau climate",Analysis of long-term rainfall variability trends and groundwater availability,https://doi.org/10.1016/j.quaint.2005.11.006
Sahara Ranges, Tibesti,"Tibesti ecosystems",(Climate) (other ecosystems) (Transformation) Quaternary Vegetation Dynamics,https://library.oapen.org/bitstream/handle/20.500.12657/51389/1/9781000431148.pdf#page=46
Sahara Ranges, Tibesti,"Tibesti ecosystems",(Climate) (vegetation) (other ecosystems) Exploration of the Tibesti Mountains,https://books.google.com.au/books?hl=en&lr=lang_en&id=tqU5DwAAQBAJ&oi=fnd&pg=PT24&dq=tibesti+ecosystems&ots=QixL1Ykncv&sig=M-Tg1DjOgzkGFb_WdrRdZYcXlSM#v=onepage&q=tibesti%20ecosystems&f=false
Sahara Ranges, Tibesti,"Tibesti flora and fauna",(Climate) Tectonics climate and diversification of flora and fauna,https://doi.org/10.1111/brv.12644
Sahara Ranges, Tibesti,"Tibesti climate",(Climate) African holocene humid period in tibesti,https://doi.org/10.1016/j.quascirev.2023.108099
Sahara Ranges, Atakor,"Atakor ecosystems",(Other ecosystems) Monitoring Saharan cheetah and large fauna,https://doi.org/10.31396/Biodiv.Jour.2022.13.4.853.863
